Gender,Age_Group,Education_Label,Total,Actual_Attrition,AI_Risk_Score,Bias_Gap,Bias_Direction
Female,36-45,Doctor,11,0.0,15.6,15.6,Over-Penalised
Female,36-45,Master,50,6.0,13.5,7.5,Over-Penalised
Female,36-45,Below College,13,0.0,7.1,7.1,Over-Penalised
Male,18-25,College,16,18.8,25.6,6.800000000000001,Over-Penalised
Male,36-45,Master,81,8.6,14.3,5.700000000000001,Over-Penalised
Male,36-45,Below College,19,10.5,15.6,5.1,Over-Penalised
Male,26-35,Below College,44,13.6,18.6,5.000000000000002,Over-Penalised
Female,18-25,Bachelor,16,50.0,33.1,-16.9,Under-Penalised
Male,46-60,College,26,26.9,10.3,-16.599999999999998,Under-Penalised
Female,18-25,Below College,13,46.2,31.6,-14.600000000000001,Under-Penalised
Male,46-60,Below College,12,16.7,5.1,-11.6,Under-Penalised
Male,46-60,Bachelor,47,12.8,4.9,-7.9,Under-Penalised
Male,46-60,Master,62,14.5,7.5,-7.0,Under-Penalised
Male,18-25,Bachelor,24,41.7,35.7,-6.0,Under-Penalised
Female,46-60,College,25,12.0,6.2,-5.8,Under-Penalised
